nacc_id,submitter_id,statement_detail_type_id,index,detail,valuation_submitter,valuation_spouse,valuation_child,note,latest_submitted_date
99999,99999,1,1,เงินประจำตำแหน่ง,854760,,,,
99999,99999,1,2,เงินเพิ่ม,507960,,,,
99999,99999,1,3,ค่าเบี้ยประชุม,,300000,,,
99999,99999,1,4,เบี้ยประชุมคณะกรรมาธิการ,27000,,,,
99999,99999,2,1,ดอกเบี้ยเงินฝาก (ต่อปี),14798.2,7002.95,6596.84,,
99999,99999,2,2,ดอกเบี้ยเงินกู้ยืม (ต่อปี),2215000,,,,
99999,99999,5,1,เงินปันผล LTF,9000,5000,,,
99999,99999,5,2,เงินจ่ายคืนประกัน,100000,,,,
99999,99999,6,1,ค่าใช้จ่ายอุปโภค บริโภค,2770000,6300000,,,
99999,99999,6,2,ค่าเบี้ยประกัน,139000,448000,,,
99999,99999,6,3,ค่าผ่อนบ้าน,16009188,22819200,,,
99999,99999,6,4,ค่าผ่อนรถ,704844,869664,,,
99999,99999,7,1,ค่าท่องเที่ยว,240000,3600000,,,
99999,99999,7,2,ค่าบริจาค,100000,760000,,,
99999,99999,8,1,เงินสด,4500000,6900000,,,
99999,99999,9,1,เงินฝาก,2959639.43,1400590.83,,,
99999,99999,10,1,เงินลงทุน,,1179793.77,,,
99999,99999,11,1,เงินให้กู้ยืม,45362294.52,,,,
99999,99999,12,1,ทรัพย์สิน,32077500,106925000,,,
99999,99999,13,1,โรงเรือนและสิ่งปลูกสร้าง,111206460,8156180,,,
99999,99999,14,1,ยานพาหนะ,3207900,6380000,,,
99999,99999,15,1,สิทธิและสัมปทาน,8309963.36,6464.377,2779079.75,,
99999,99999,16,1,ทรัพย์สินอื่น,19571372,129865420,,,
99999,99999,18,1,เงินกู้จากธนาคารและสถาบันการเงินอื่น,45182273.48,34103336.96,,,
99999,99999,19,1,หนี้สินที่มีหลักฐานเป็นหนังสือ,45182273.48,34103336.96,,,
99999,99999,20,1,หนี้สินอื่น,,652248,,,
