asset_id,submitter_id,nacc_id,count,unit,latest_submitted_date
2637,99999,99999,1,,
2638,99999,99999,1,,
2639,99999,99999,1,,
2640,99999,99999,1,,
2641,99999,99999,1,,
2642,99999,99999,1,,
2643,99999,99999,2,,
2644,99999,99999,1,,
2645,99999,99999,1,,
2646,99999,99999,1,,
2647,99999,99999,1,,
2648,99999,99999,1,,
2650,99999,99999,1,,
2651,99999,99999,1,,
2652,99999,99999,1,,
2653,99999,99999,1,,
2654,99999,99999,1,,
2655,99999,99999,1,,
2656,99999,99999,1,,
2657,99999,99999,1,,
2658,99999,99999,1,,
2659,99999,99999,1,,
2660,99999,99999,1,,
2661,99999,99999,1,,
2662,99999,99999,1,,
2663,99999,99999,1,,
2664,99999,99999,1,,
